Year,Borough,Race/Ethinicity,Race Population
2016,Bronx,Asian/Pacific Islander,"52,330"
2016,Bronx,Black,"495,031"
2016,Bronx,Latino/Hispanic,"815,422"
2016,Bronx,Other/Unknown,"528,863"
2016,Bronx,White,"312,877"
2016,Brooklyn,Asian/Pacific Islander,"317,252"
2016,Brooklyn,Black,"861,749"
2016,Brooklyn,Latino/Hispanic,"505,183"
2016,Brooklyn,Other/Unknown,"237,591"
2016,Brooklyn,White,"1,124,155"
2016,Manhattan,Asian/Pacific Islander,205639
2016,Manhattan,Black,"246,095"
2016,Manhattan,Latino/Hispanic,"427,224"
2016,Manhattan,Other/Unknown,"179,384"
2016,Manhattan,White,"931,953"
2016,Queens,Asian/Pacific Islander,594162
2016,Queens,Black,"421,307"
2016,Queens,Latino/Hispanic,"653,694"
2016,Queens,Other/Unknown,"318,657"
2016,Queens,White,"905,860"
2016,Staten Island,Asian/Pacific Islander,41468
2016,Staten Island,Black,"48,920"
2016,Staten Island,Latino/Hispanic,"87,567"
2016,Staten Island,Other/Unknown,"22,464"
2016,Staten Island,White,"352,530"
2017,Bronx,Asian/Pacific Islander,"58,817"
2017,Bronx,Black,"517,433"
2017,Bronx,Latino/Hispanic,"826,176"
2017,Bronx,Other/Unknown,"505,698"
2017,Bronx,White,"328,383"
2017,Brooklyn,Asian/Pacific Islander,325263
2017,Brooklyn,Black,"850,150"
2017,Brooklyn,Latino/Hispanic,"506,635"
2017,Brooklyn,Other/Unknown,"241,515"
2017,Brooklyn,White,"1,145,345"
2017,Manhattan,Asian/Pacific Islander,208733
2017,Manhattan,Black,"247,139"
2017,Manhattan,Latino/Hispanic,"435,002"
2017,Manhattan,Other/Unknown,"200,412"
2017,Manhattan,White,"925,117"
2017,Queens,Asian/Pacific Islander,618516
2017,Queens,Black,"427,999"
2017,Queens,Latino/Hispanic,"660,550"
2017,Queens,Other/Unknown,"339,412"
2017,Queens,White,"885,312"
2017,Staten Island,Black,"51,411"
2017,Staten Island,Latino/Hispanic,"89,066"
2017,Staten Island,Other/Unknown,"20,230"
2017,Staten Island,White,"351,632"
2018,Bronx,Asian/Pacific Islander,"56,412"
2018,Bronx,Black,"509,310"
2018,Bronx,Latino/Hispanic,"807,228"
2018,Bronx,Other/Unknown,"473,965"
2018,Bronx,White,"321,890"
2018,Brooklyn,Asian/Pacific Islander,301602
2018,Brooklyn,Black,"827,041"
2018,Brooklyn,Latino/Hispanic,"492,700"
2018,Brooklyn,Other/Unknown,"226,874"
2018,Brooklyn,White,"1,125,773"
2018,Manhattan,Asian/Pacific Islander,201129
2018,Manhattan,Black,"236,356"
2018,Manhattan,Latino/Hispanic,"421,023"
2018,Manhattan,Other/Unknown,"193,696"
2018,Manhattan,White,"904,573"
2018,Queens,Asian/Pacific Islander,589499
2018,Queens,Black,"419,389"
2018,Queens,Latino/Hispanic,"639,612"
2018,Queens,Other/Unknown,"325,379"
2018,Queens,White,"848,180"
2018,Staten Island,Black,"47,098"
2018,Staten Island,Latino/Hispanic,"88,888"
2018,Staten Island,White,"347,986"
2019,Bronx,Asian/Pacific Islander,54763
2019,Bronx,Black,"542,543"
2019,Bronx,Latino/Hispanic,"799,580"
2019,Bronx,Other/Unknown,"429,572"
2019,Bronx,White,"321,736"
2019,Brooklyn,Asian/Pacific Islander,307209
2019,Brooklyn,Black,"820,016"
2019,Brooklyn,Latino/Hispanic,"483,678"
2019,Brooklyn,Other/Unknown,"222,349"
2019,Brooklyn,White,"1,115,915"
2019,Manhattan,Asian/Pacific Islander,202370
2019,Manhattan,Black,"233,945"
2019,Manhattan,Latino/Hispanic,"416,758"
2019,Manhattan,Other/Unknown,"194,114"
2019,Manhattan,White,"922,746"
2019,Queens,Asian/Pacific Islander,589994
2019,Queens,Black,"415,664"
2019,Queens,Latino/Hispanic,"634,934"
2019,Queens,Other/Unknown,"328,194"
2019,Queens,White,"821,416"
2019,Staten Island,Black,"47,951"
2019,Staten Island,Latino/Hispanic,"88,638"
2019,Staten Island,Other/Unknown,"16,010"
2019,Staten Island,White,"349,964"
2020,Bronx,Asian/Pacific Islander,57148
2020,Bronx,Black,"497,301"
2020,Bronx,Latino/Hispanic,"799,765"
2020,Bronx,White,"306,569"
2020,Brooklyn,Asian/Pacific Islander,"308,175"
2020,Brooklyn,Black,"806,746"
2020,Brooklyn,Latino/Hispanic,"486,272"
2020,Brooklyn,Other/Unknown,"228,625"
2020,Brooklyn,White,"1,103,205"
2020,Manhattan,Asian/Pacific Islander,199450
2020,Manhattan,Black,"233,476"
2020,Manhattan,Latino/Hispanic,"418,442"
2020,Manhattan,Other/Unknown,"190,559"
2020,Manhattan,White,"898,723"
2020,Queens,Asian/Pacific Islander,590025
2020,Queens,Black,"409,975"
2020,Queens,Latino/Hispanic,"631,657"
2020,Queens,Other/Unknown,"311,820"
2020,Queens,White,"814,353"
2020,Staten Island,Asian/Pacific Islander,47746
2020,Staten Island,Black,"48,623"
2020,Staten Island,Latino/Hispanic,"87,733"
2020,Staten Island,Other/Unknown,"18,419"
2020,Staten Island,White,"340,436"
2021,Bronx,Asian/Pacific Islander,57089
2021,Bronx,Black,"436,782"
2021,Bronx,Latino/Hispanic,"804,122"
2021,Bronx,Other/Unknown,"486,326"
2021,Bronx,White,"182,295"
2021,Brooklyn,Asian/Pacific Islander,321457
2021,Brooklyn,Black,"733,243"
2021,Brooklyn,Latino/Hispanic,"496,797"
2021,Brooklyn,Other/Unknown,"281,324"
2021,Brooklyn,White,"987,830"
2021,Manhattan,Asian/Pacific Islander,187748
2021,Manhattan,Black,"216,224"
2021,Manhattan,Latino/Hispanic,"415,702"
2021,Manhattan,Other/Unknown,"219,188"
2021,Manhattan,White,"740,303"
2021,Queens,Asian/Pacific Islander,600913
2021,Queens,Black,"393,874"
2021,Queens,Latino/Hispanic,"655,419"
2021,Queens,Other/Unknown,"392,976"
2021,Queens,White,"610,897"
2021,Staten Island,Asian/Pacific Islander,57035
2021,Staten Island,Black,"47,516"
2021,Staten Island,Latino/Hispanic,"92,080"
2021,Staten Island,White,"296,700"
